,bak,en
2704,"Баҡса өйөн йыйыштырғанда саң борхотмағыҙ, битлек, бирсәткә кейегеҙ.","When cleaning (your) garden cottage, do not raise dust, wear a mask (and) gloves."
2705,"Битлек кейеүҙең әһәмиәтен аңламай икән, өйҙә ултырһын.","If (s/he) doesnt understand the importance of wearing a mask, (then) have (him/her) seated at home."
2706,"Баҡса өйөн йыйыштырғанда саң борхотмағыҙ, битлек, бирсәткә кейегеҙ.","When cleaning (your) garden cottage, do not raise dust, wear a mask (and) gloves."
2707,"Аҡ өкөнөң себештәре көнөнә берешәр моронлай, шуға күрә бер оялағы ҡошсоҡтар төрлө буйлы була, кеселәре йыш ҡына үлеп ҡала.","Snowy owls chicks hatch one a day, therefore the young birds in one nest have different statures, those younger often die."
2708,[[беҙ|Беҙ]] [[буш]] [[вәғәҙә]] бирмәйбеҙ.,We do not give empty promises.
2709,Йәйҙең иң ҡыҙыу мәле.,The busiest time/season of the summer.
2710,"Мысырҙа башлыса дөгө, мамыҡ, бойҙай һәм йәшелсә-емештәр үҫтерәләр.","In Egypt, they mainly grow rice, cotton, wheat and vegetables."
2711,"“Ғәлиә”лә башлыса Мысырҙа, Сүриәлә, Төркиәлә белем алған билдәле ғалимдар һәм дин белгестәре уҡыта.","The faculty of (the madrasah of) Ğaliya mostly consists of noted scholars and religion (i.e. Islamic) experts educated in Egypt, Syria and Turkey."
2712,Бер ҡосаҡ утын.,One armful of firewood.
2713,Ҡырғыҙ теле.,The Kyrgyz language.
2714,Бөтәһенән бигерәк ҡырғыҙ [[батыр|батырҙарынан]] Сарыбай тигәне уның менән күрешергә һәм дуҫлашырға теләй.,"Of all the Kyrgyz brave men, one named Sarïbay wanted the most to meet and make friends with him."
2715,"Атлан, батыр, атҡа, тот һөңгөңдө!","Brave man, mount a horse, hold your spear!"
2716,"Ғалимдар аңлатыуынса, баш бармаҡ айырым торһа, эш йә һуғыш ҡоралын ҡыҫып тотоу уңайлыраҡ.","As scientists explain, if the thumb is located separately, it is more convenient to tightly hold a tool of war or labor."
2717,Ниндәй ҙә булһа тарихи ваҡиға йәки шәхес тураһындағы яҙма риүәйәт.,A written legend about some historical event or person.
2718,Ниндәй ҙә булһа ҡатнашыусыны хаким итеп һайлар өсөн бөтәһе ундан да кәм түгел тауыш бирелергә тейеш.,"To elect any participant an administrator, a total of no less than ten votes must be cast."
2719,"Риүәйәт буйынса, батша 1707 йылда ҡалаға шәхсән нигеҙ һалған.","As the legend goes, the czar in person founded the city in 1707."
2720,Тағы бер ҡат тикшереү.,To check once again.
2721,Арғы оста тағы бер аҙыҡ-түлек магазины бар.,There is one more food shop at the far end (of the village).
2722,Өфөлә тағы биш мәктәп дистанцион уҡыуға күсте.,"In Ufa, five more schools moved to remote learning."
2723,Үҙ йортоңдоң хужаһы булыу отошлораҡ.,Its more advantageous to be an owner of your own house.
2724,"Ҡоҙғон ҡайһы тирәлә ҡысҡырһа, шунда мәйет була.","Where a raven caws, there will be a dead man."
2725,"Күперҙе төҙөүселәр тырышып эшләне, ауыл халҡы яғынан да уларға ярҙам булды.",The bridge construction workers worked diligently; there was also assistence to them on the part of the villagers.
2726,"Егеттәр, һаҡланығыҙ наҙан дуҫтан ― наҙан дуҫ бер айҙаң һуң булыр дошман.","Guys, beware of a ignorant friend ― in a months time, an ignorant friend will become an enemy.|q=Aqmulla"
2727,"Ә ышаныс юғалһа, уны яңынан яулау үтә ауыр.","And if confidence is destroyed, it is very difficult to win back."
2728,Бар ҡоштарға баш булған Самрау атлы атам бар.,"I have a father with the name of Samraw, who is the master of all birds."
2729,...һәр тел Ғайса Мәсихте Раббы тип таныһын.,...let every tongue acknowledge Jesus Crist as the Lord.|q=Philippians 2:11
2730,Библиофиллыҡ — һирәк осрай торған һәм ҡиммәтле китаптар йыйыу шөғөлө.,Bibliophilia is the occupation of collecting rarely occurring and valuable books.
2731,Библиофиллыҡ — һирәк осрай торған һәм ҡиммәтле китаптар йыйыу шөғөлө.,Bibliophilia is the occupation of collecting rarely occurring and valuable books.
2732,"Ул бик ҡиммәтле матур ынйы тапҡас, ҡайтып бар мөлкәтен һатҡан да, шул ынйыны алған.","When he found a very valuable, beautiful pearl, (he) went home, sold all his belongings and bought that pearl.|q=Matthew 13:46"
2733,"Кәртәгә тотоноп, ҡарт оҙаҡ ҡына ауыл урамына ҡарап торҙо.","The old man stood for a long time, holding on a fence and looking at the village street."
2734,Тормош ҡуйған кәртәләрҙе үтә белеү.,The ability to overcome obstacles that life sets.
2735,Милләтһеҙ бала ҡамғаҡҡа тиң.,A child without ethnic roots is akin to tumbleweed.
2736,Был һәйкәлдең Башҡортостанда әлегә тиңе юҡ.,"At this time, this monument has no peers in Bashkortostan."
2737,"Өйгә ҡайтып, усаҡҡа ут яға тор.",Go home and make fire in the stove.
2738,"Мә, ошо ҡолондо ат итеп үҫтер ҙә менеп йөрөрһөң.","Here, grow this foal into a horse and you will ride it."
2739,Мәргәндең һаҙағында ике бөртөк кенə уҡ ҡалған ти.,"In the sharp-shooters quiver, there remained only two arrows."
2740,Халыҡҡа абруйлы кешеләрҙең өлгөһө кәрәк.,People need the example of reputable persons (=People need reputable persons who set an example).
2741,Мәҡәләләге мәғлүмәт абруйлы сығанаҡтар менән раҫланырға тейеш.,The information in the article must be proved with trustworthy sources.
2742,"Ҡарама олононан һут аҡһа, яҙғы һалҡындар бөтә.","If sap oozes from elm tree trunk, spring frosts will be over."
2743,Ислам динендә кешенең йәнен Ғазраил фәрештә ала.,"In the religion of Islam, the angel Azrael takes a persons soul (when that person dies)."
2744,"Ул бик ҡиммәтле матур ынйы тапҡас, ҡайтып бар мөлкәтен һатҡан да, шул ынйыны алған.","When he found a very valuable, beautiful pearl, (he) went home, sold all his belongings and bought that pearl.|q=Matthew 13:46"
2745,Ул мине дөрөҫ аңланы.,He/she understood me correctly.
2746,"Битлек кейеүҙең әһәмиәтен аңламай икән, өйҙә ултырһын.","If (s/he) doesnt understand the importance of wearing a mask, (then) have (him/her) seated at home."
2747,Кубаға барыр алдынан испан телен өйрәнгән.,"Before going to Cuba, (he/she) learned the Spanish language."
2748,Минең ҡыҙым һыйыр һауырға өйрәнмәне.,My daughter did not learn to milk a cow.
2749,Өйрәнергә бер ҡасан да һуң түгел.,Its never late to learn (new things).
2750,Гәрәбә эсендә һаҡланып ҡалған бороңғо бөжәктәрҙе өйрәнеү.,To study ancient insects preserved within amber.
2751,"Өйгә кермәй тор, иҙән кипһен.","Dont enter the house (for a while), let the floor dry."
2752,"Малайҙар тиҙ-тиҙ ашанылар ҙа, ""рәхмәт"" тип сығып киттеләр.","The boys had their meal quickly, said ""thank you"" and left."
